"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]"
1,2.86570259918929,9.87702569216246,18.2160943676797
2,3.95811753809883,12.5643169840754,23.6287863385436
3,4.45087241376883,13.2280023196806,25.1084811345338
4,4.98766743250512,13.385056529404,25.820023373724
5,5.43085648341047,13.3989126017949,26.2413369084574
6,5.63325338168144,13.4526541681061,26.4995208497256
7,5.65825926658398,13.4953000453,26.6123089333745
8,5.73139036393598,13.4784513197677,26.7380075080563
9,5.88340085076824,13.4754755350674,26.7783709326095
10,5.92032650797391,13.4590821498982,26.797450267709
